panelist-id,age,gender,children,marital,Household Size,Social Class,Working Status,Number of TV sets,Digital Status,Cable/Satellite,Multi Channel Status,TV Platform Reception Type
94398,16-24,M,0,married,2 people,C1,30+ hours per week,3,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
22135,35-44,F,0,married,2 people,C1,30+ hours per week,3,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
46785,35-44,M,0,single,3 people,C1,30+ hours per week,3,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
67419,35-44,F,0,single,3 people,C1,No paid work,3,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
10264,45-64,M,0,single,2 people,C1,No paid work,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
72596,25-34,F,0,single,2 people,C1,8-29 hours per week,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
30268,45-64,M,0,single,1 person,AB,30+ hours per week,2,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
52109,45-64,F,0,married,3 people,C1,30+ hours per week,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
94590,45-64,M,0,married,3 people,C1,30+ hours per week,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
51061,16-24,M,0,single,3 people,C1,f.t. education / under school,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
57397,35-44,M,1,married,3 people,C2,30+ hours per week,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
36342,35-44,F,1,married,3 people,C2,No paid work,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
66572,25-34,F,0,single,2 people,E,No paid work,2,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
27375,35-44,M,2,married,4 people,AB,30+ hours per week,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
70747,35-44,F,2,married,4 people,AB,30+ hours per week,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
87502,35-44,M,3+,married,6 people,C2,30+ hours per week,3,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
81268,35-44,F,3+,married,6 people,C2,8-29 hours per week,3,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
67851,45-64,F,0,married,6 people,C2,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
31188,45-64,M,0,married,6 people,C2,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
66732,16-24,M,0,single,6 people,C2,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
27550,16-24,M,0,married,6 people,C2,f.t. education / under school,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
34564,16-24,M,0,single,6 people,C2,f.t. education / under school,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
20565,16-24,F,0,single,6 people,C2,f.t. education / under school,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
33361,45-64,F,1,married,5 people,C2,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
65123,45-64,M,1,married,5 people,C2,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
95881,45-64,F,0,married,5 people,C2,30+ hours per week,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
